id;lat;lon
369;48.8535623;2.3075736
370;48.85121965;2.306670824655578
371;48.8481315;2.3031117
372;48.8467473;2.3097767
373;48.8460459;2.3119666
374;48.8473942;2.3059778
375;48.8481651;2.3172141
376;48.8473369;2.3095038
377;48.8597445;2.3084566
378;48.8561332;2.3027511
379;48.8582257;2.3238648
380;48.847934;2.3089125
381;48.8587907;2.3018258
382;48.8462689;2.3145776
383;48.8556604;2.3034858
384;48.8555824;2.3036073
385;48.8443635;2.3093451
386;48.8413124;2.3152838
387;48.8411775;2.3155447
388;48.8409434;2.3037524
389;48.8399814;2.3011222
390;48.8427695;2.3027722
391;48.8426951;2.3026387
392;48.8399101;2.3004389
393;48.842289;2.3174339
394;48.841005;2.3008041
395;48.8372737;2.3109471
396;48.8443947;2.3180438
397;48.8448124;2.3188815
398;48.846456;2.3156805
399;48.8459139;2.3187761
400;48.8470363;2.3004202
401;48.8434643;2.3139637
402;48.8414513;2.3190734
403;48.842708099999996;2.3096868949876264
404;48.839227;2.3003187
405;48.841199;2.302564
406;48.8426951;2.3026387
407;48.8392123;2.3075163
408;48.8422849;2.3107396
409;48.8365869;2.3030925
410;48.8397172;2.3025998
411;48.8416978;2.2988936
412;48.8459776;2.3175719
413;48.8413706;2.3068851
414;48.8412671;2.306508
415;48.839227;2.3003187
416;48.8424998;2.3124984
417;48.8466445;2.2998459
418;48.8398238;2.3017139
419;48.8411199;2.2996493
420;48.8428984;2.3066104
421;48.8456052;2.3012381
422;48.8395919;2.3021142
423;48.8394208;2.3011516
424;48.8388968;2.3004394
425;48.838685;2.2994011
426;48.8384525;2.2989174
427;48.8413815;2.3173994
428;48.8414248;2.3175498
429;48.840267;2.302164
430;48.8405815;2.3086819
431;48.8440281;2.3078086
432;48.836507;2.2991878
433;48.8412353;2.313152
434;48.8418872;2.3126273
435;48.8383048;2.3001462
436;48.839056;2.3102357
437;48.8445366;2.3213218
438;48.8370128;2.3060462
439;48.8402888;2.3054028
440;48.8457857;2.3052457
441;48.843339;2.299814
442;48.8443334;2.3219391
443;48.8398814;2.2963702
