id;ddv;ddvs;rdv;mode;com;rec;motif;lun_m;lun_a;mar_m;mar_a;mer_m;mer_a;jeu_m;jeu_a;ven_m;ven_a
117;2023-11-08 10:30:00;[Timestamp('2023-11-08 10:30:00'), Timestamp('2023-07-07 10:30:00')];;RDV;DOCTOLIB;OUI;;09:30-13:00(R);14:00-19:30(R);13:00-14:00(R);14:00-19:00(R);08:30-13:00(R);14:00-19:00(R);08:30-12:00(R);14:30-19:30(R);10:00-13:00(R);14:30-19:00(R)
118;2023-07-05 00:00:00;[];;;;;;;;;;;;;;;
119;2023-10-23 14:00:00;[Timestamp('2023-10-23 14:00:00')];;RDV;;;;;;;;;;;;;
120;2023-10-16 00:00:00;[];;RDV;;;;;;;;;;;;;
121;;[];;;;;;;;;;;;;;;
122;2023-11-16 10:00:00;[Timestamp('2023-11-16 10:00:00')];;;;;;;;;;;;;;;
123;2024-01-29 16:00:00;[Timestamp('2024-01-29 16:00:00'), Timestamp('2023-11-21 13:30:00')];;;;;;;;;;;;;;;
124;;[];;;;;;;;;;;;;;;
125;;[];;;;;;;;;;;;;;;
126;;[];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R)
127;;[];;;ESTHETIQUE;;;;;;;;;;;;
128;;[];;;;;;;;;;;;;;;
129;;[];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);08:00-14:00(R);;09:00-14:00(R);14:00-19:00(R);;
130;;[];;;;;;;;;;;;;;;
131;;[];;;;;;;;;;;;;;;
132;2024-02-27 14:00:00;[Timestamp('2024-02-27 14:00:00'), Timestamp('2023-07-10 10:00:00')];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);;
133;;[];;;;;;;;;;;;;;;
134;;[];;;;;;;;;;;;;;;
135;;[];;;;;;;;;;;;;;;
136;;[];;;;PVM1;;;;;;;;;;;
137;2023-11-02 12:00:00;[Timestamp('2023-11-02 12:00:00')];;;;;;;;;;;;;;;
138;;[];;;;;;;;;;;;;;;
139;;[];;;;;;;;;;;;;;;
140;;[];;;;;;;;;;;;;;;
141;;[];;;;;;;;;;;;;;;
142;;[];;;;;;;14:00-19:30(R);;14:00-19:30(R);;14:00-19:30(R);;14:00-19:30(R);;14:00-19:30(R)
143;2024-02-22 15:00:00;[Timestamp('2024-02-22 15:00:00')];;;;;;08:00-14:00(R);14:00-19:00(R);08:00-14:00(R);14:00-19:00(R);08:00-14:00(R);14:00-19:00(R);08:00-14:00(R);14:00-19:00(R);08:00-14:00(R);14:00-19:00(R)
144;2023-06-29 09:00:00;[Timestamp('2023-06-29 09:00:00')];;;;;;11:00-14:00(R);14:00-19:00(R);11:00-14:00(R);14:00-19:00(R);11:00-14:00(R);14:00-19:00(R);;16:30-19:00(R);11:00-14:00(R);14:00-19:00(R)
145;2023-07-07 11:00:00;[Timestamp('2023-07-07 11:00:00')];True;L;APPELER AVANT;OUI;;;;FIN;;;;;;FIN;
146;2024-02-26 12:00:00;[Timestamp('2024-02-26 12:00:00')];;;;;;;;;;;;;;;
147;2023-11-20 11:00:00;[Timestamp('2023-11-20 11:00:00')];;;;;;;;;;;;;;;
148;2023-11-24 10:00:00;[Timestamp('2023-11-24 10:00:00')];;;;;;;;;;;;;;;
149;;[];;;;;;09:30-12:30(R);14:30-19:00(R);09:30-12:30(R);14:30-19:00(R);09:30-12:30(R);14:30-19:00(R);09:30-12:30(R);14:30-19:00(R);09:30-12:30(R);14:30-19:00(R)
150;2024-02-07 09:30:00;[Timestamp('2024-02-07 09:30:00'), Timestamp('2023-11-09 16:00:00')];;;;;;;;;;;;;;;
151;;[];;;;;;;;;;;;;;;
152;;[];;;;;;10:00-12:00(?);;09:30-12:00(?);14:00-19:00(?);09:30-12:30(?);;10:00-12:00(?);14:00-19:00(?);10:00-12:00(?);14:00-19:00(?)
